COURSE,215,
LAB,Waveforms,
DATE,_10/6/2017,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremilla,rishabas
GSI,Jingyang Sui,
,,
Time(s),Ch1(V)
0.000012852,-2.532663000
0.000012894,-2.532663000
0.000012936,-2.532663000
0.000012978,-2.532663000
0.000013020,-2.532663000
0.000013062,-2.532663000
0.000013104,-2.532663000
0.000013146,-2.492462000
0.000013188,-2.532663000
0.000013230,-2.532663000
0.000013272,-2.532663000
0.000013314,-2.532663000
0.000013356,-2.532663000
0.000013398,-2.532663000
0.000013440,-2.532663000
0.000013482,-2.492462000
0.000013524,-2.532663000
0.000013566,-2.532663000
0.000013608,-2.532663000
0.000013650,-2.492462000
0.000013692,-2.532663000
0.000013734,-2.532663000
0.000013776,-2.532663000
0.000013818,-2.492462000
0.000013860,-2.532663000
0.000013902,-2.532663000
0.000013944,-2.532663000
0.000013986,-2.492462000
0.000014028,-2.532663000
0.000014070,-2.532663000
0.000014112,-2.532663000
0.000014154,-2.532663000
0.000014196,-2.532663000
0.000014238,-2.532663000
0.000014280,-2.532663000
0.000014322,-2.532663000
0.000014364,-2.532663000
0.000014406,-2.532663000
0.000014448,-2.532663000
0.000014490,-2.532663000
0.000014532,-2.532663000
0.000014574,-2.532663000
0.000014616,-2.532663000
0.000014658,-2.532663000
0.000014700,-2.532663000
0.000014742,-2.532663000
0.000014784,-2.532663000
0.000014826,-2.492462000
0.000014868,-2.532663000
0.000014910,-2.532663000
0.000014952,-2.532663000
0.000014994,-2.532663000
0.000015036,-2.532663000
0.000015078,-2.532663000
0.000015120,-2.532663000
0.000015162,-2.532663000
0.000015204,-2.532663000
0.000015246,-2.532663000
0.000015288,-2.532663000
0.000015330,-2.492462000
0.000015372,-2.532663000
0.000015414,-2.532663000
0.000015456,-2.572864000
0.000015498,-2.532663000
0.000015540,-2.532663000
0.000015582,-2.532663000
0.000015624,-2.532663000
0.000015666,-2.532663000
0.000015708,-2.532663000
0.000015750,-2.532663000
0.000015792,-2.532663000
0.000015834,-2.532663000
0.000015876,-2.532663000
0.000015918,-2.532663000
0.000015960,-2.532663000
0.000016002,-2.532663000
0.000016044,-2.532663000
0.000016086,-2.532663000
0.000016128,-2.532663000
0.000016170,-2.492462000
0.000016212,-2.532663000
0.000016254,-2.532663000
0.000016296,-2.532663000
0.000016338,-2.532663000
0.000016380,-2.532663000
0.000016422,-2.532663000
0.000016464,-2.532663000
0.000016506,-2.492462000
0.000016548,-2.532663000
0.000016590,-2.572864000
0.000016632,-2.532663000
0.000016674,-2.532663000
0.000016716,-2.492462000
0.000016758,-2.532663000
0.000016800,-2.532663000
0.000016842,-2.492462000
0.000016884,-2.532663000
0.000016926,-2.532663000
0.000016968,-2.532663000
0.000017010,-2.532663000
0.000017052,-2.532663000
0.000017094,-2.532663000
0.000017136,-2.532663000
0.000017178,-2.532663000
0.000017220,-2.532663000
0.000017262,-2.532663000
0.000017304,-2.532663000
0.000017346,-2.492462000
0.000017388,-2.532663000
0.000017430,-2.532663000
0.000017472,-2.532663000
0.000017514,-2.532663000
0.000017556,-2.532663000
0.000017598,-2.532663000
0.000017640,-2.532663000
0.000017682,-2.492462000
0.000017724,-2.532663000
0.000017766,-2.532663000
0.000017808,-2.532663000
0.000017850,-2.492462000
0.000017892,-2.532663000
0.000017934,-2.532663000
0.000017976,-2.532663000
0.000018018,-2.532663000
0.000018060,-2.532663000
0.000018102,-2.532663000
0.000018144,-2.532663000
0.000018186,-2.532663000
0.000018228,-2.532663000
0.000018270,-2.532663000
0.000018312,-2.532663000
0.000018354,-2.492462000
0.000018396,-2.532663000
0.000018438,-2.572864000
0.000018480,-2.532663000
0.000018522,-2.532663000
0.000018564,-2.532663000
0.000018606,-2.532663000
0.000018648,-2.532663000
0.000018690,-2.532663000
0.000018732,-2.532663000
0.000018774,-2.532663000
0.000018816,-2.532663000
0.000018858,-2.532663000
0.000018900,-2.532663000
0.000018942,-2.532663000
0.000018984,-2.532663000
0.000019026,-2.532663000
0.000019068,-2.532663000
0.000019110,-2.532663000
0.000019152,-2.532663000
0.000019194,-2.532663000
0.000019236,-2.532663000
0.000019278,-2.532663000
0.000019320,-2.532663000
0.000019362,-2.492462000
0.000019404,-2.532663000
0.000019446,-2.572864000
0.000019488,-2.532663000
0.000019530,-2.532663000
0.000019572,-2.532663000
0.000019614,-2.532663000
0.000019656,-2.532663000
0.000019698,-2.532663000
0.000019740,-2.532663000
0.000019782,-2.532663000
0.000019824,-2.572864000
0.000019866,-2.532663000
0.000019908,-2.532663000
0.000019950,-2.572864000
0.000019992,-2.532663000
0.000020034,-2.532663000
0.000020076,-2.492462000
0.000020118,-2.532663000
0.000020160,-2.532663000
0.000020202,-2.532663000
0.000020244,-2.532663000
0.000020286,-2.532663000
0.000020328,-2.532663000
0.000020370,-2.492462000
0.000020412,-2.532663000
0.000020454,-2.532663000
0.000020496,-2.532663000
0.000020538,-2.492462000
0.000020580,-2.492462000
0.000020622,-2.532663000
0.000020664,-2.532663000
0.000020706,-2.532663000
0.000020748,-2.532663000
0.000020790,-2.532663000
0.000020832,-2.532663000
0.000020874,-2.492462000
0.000020916,-2.532663000
0.000020958,-2.532663000
0.000021000,-2.532663000
0.000021042,-2.492462000
0.000021084,-2.532663000
0.000021126,-2.572864000
0.000021168,-2.532663000
0.000021210,-2.492462000
0.000021252,-2.532663000
0.000021294,-2.532663000
0.000021336,-2.572864000
0.000021378,-2.532663000
0.000021420,-2.532663000
0.000021462,-2.532663000
0.000021504,-2.532663000
0.000021546,-2.532663000
0.000021588,-2.532663000
0.000021630,-2.532663000
0.000021672,-2.532663000
0.000021714,-2.532663000
0.000021756,-2.492462000
0.000021798,-2.532663000
0.000021840,-2.532663000
0.000021882,-2.532663000
0.000021924,-2.532663000
0.000021966,-2.532663000
0.000022008,-2.532663000
0.000022050,-2.492462000
0.000022092,-2.532663000
0.000022134,-2.532663000
0.000022176,-2.532663000
0.000022218,-2.532663000
0.000022260,-2.532663000
0.000022302,-2.532663000
0.000022344,-2.532663000
0.000022386,-2.532663000
0.000022428,-2.532663000
0.000022470,-2.532663000
0.000022512,-2.572864000
0.000022554,-2.532663000
0.000022596,-2.532663000
0.000022638,-2.532663000
0.000022680,-2.532663000
0.000022722,-2.532663000
0.000022764,-2.532663000
0.000022806,-2.532663000
0.000022848,-2.532663000
0.000022890,-2.532663000
0.000022932,-2.532663000
0.000022974,-2.532663000
0.000023016,-2.532663000
0.000023058,-2.492462000
0.000023100,-2.532663000
0.000023142,-2.532663000
0.000023184,-2.532663000
0.000023226,-2.492462000
0.000023268,-2.532663000
0.000023310,-2.532663000
0.000023352,-2.532663000
0.000023394,-2.532663000
0.000023436,-2.532663000
0.000023478,-2.532663000
0.000023520,-2.532663000
0.000023562,-2.492462000
0.000023604,-2.532663000
0.000023646,-2.532663000
0.000023688,-2.532663000
0.000023730,-2.492462000
0.000023772,-2.532663000
0.000023814,-2.532663000
0.000023856,-2.532663000
0.000023898,-2.532663000
0.000023940,-2.532663000
0.000023982,-2.532663000
0.000024024,-2.532663000
0.000024066,-2.532663000
0.000024108,-2.492462000
0.000024150,-2.532663000
0.000024192,-2.532663000
0.000024234,-2.532663000
0.000024276,-2.532663000
0.000024318,-2.532663000
0.000024360,-2.532663000
0.000024402,-2.532663000
0.000024444,-2.532663000
0.000024486,-2.532663000
0.000024528,-2.532663000
0.000024570,-2.492462000
0.000024612,-2.532663000
0.000024654,-2.572864000
0.000024696,-2.532663000
0.000024738,-2.532663000
0.000024780,-2.532663000
0.000024822,-2.572864000
0.000024864,-2.532663000
0.000024906,-2.492462000
0.000024948,-2.532663000
0.000024990,0.402010000
0.000025032,2.452261000
0.000025074,0.884422000
0.000025116,-2.371859000
0.000025158,-2.532663000
0.000025200,-2.532663000
0.000025242,-2.532663000
0.000025284,-2.532663000
0.000025326,-2.532663000
0.000025368,-2.532663000
0.000025410,-2.532663000
0.000025452,-2.532663000
0.000025494,-2.532663000
0.000025536,-2.532663000
0.000025578,-2.532663000
0.000025620,-2.532663000
0.000025662,-2.532663000
0.000025704,-2.532663000
0.000025746,-2.532663000
0.000025788,-2.532663000
0.000025830,-2.532663000
0.000025872,-2.532663000
0.000025914,-2.492462000
0.000025956,-2.532663000
0.000025998,-2.532663000
0.000026040,-2.532663000
0.000026082,-2.492462000
0.000026124,-2.532663000
0.000026166,-2.532663000
0.000026208,-2.532663000
0.000026250,-2.532663000
0.000026292,-2.532663000
0.000026334,-2.532663000
0.000026376,-2.532663000
0.000026418,-2.492462000
0.000026460,-2.532663000
0.000026502,-2.532663000
0.000026544,-2.532663000
0.000026586,-2.532663000
0.000026628,-2.532663000
0.000026670,-2.532663000
0.000026712,-2.532663000
0.000026754,-2.532663000
0.000026796,-2.532663000
0.000026838,-2.572864000
0.000026880,-2.532663000
0.000026922,-2.532663000
0.000026964,-2.532663000
0.000027006,-2.532663000
0.000027048,-2.532663000
0.000027090,-2.532663000
0.000027132,-2.532663000
0.000027174,-2.532663000
0.000027216,-2.532663000
0.000027258,-2.532663000
0.000027300,-2.532663000
0.000027342,-2.572864000
0.000027384,-2.532663000
0.000027426,-2.532663000
0.000027468,-2.532663000
0.000027510,-2.532663000
0.000027552,-2.532663000
0.000027594,-2.532663000
0.000027636,-2.492462000
0.000027678,-2.532663000
0.000027720,-2.572864000
0.000027762,-2.492462000
0.000027804,-2.532663000
0.000027846,-2.532663000
0.000027888,-2.532663000
0.000027930,-2.532663000
0.000027972,-2.532663000
0.000028014,-2.532663000
0.000028056,-2.532663000
0.000028098,-2.532663000
0.000028140,-2.532663000
0.000028182,-2.532663000
0.000028224,-2.532663000
0.000028266,-2.492462000
0.000028308,-2.532663000
0.000028350,-2.532663000
0.000028392,-2.532663000
0.000028434,-2.532663000
0.000028476,-2.532663000
0.000028518,-2.532663000
0.000028560,-2.532663000
0.000028602,-2.532663000
0.000028644,-2.532663000
0.000028686,-2.532663000
0.000028728,-2.532663000
0.000028770,-2.532663000
0.000028812,-2.532663000
0.000028854,-2.532663000
0.000028896,-2.532663000
0.000028938,-2.492462000
0.000028980,-2.532663000
0.000029022,-2.532663000
0.000029064,-2.572864000
0.000029106,-2.492462000
0.000029148,-2.532663000
0.000029190,-2.572864000
0.000029232,-2.532663000
0.000029274,-2.492462000
0.000029316,-2.532663000
0.000029358,-2.532663000
0.000029400,-2.532663000
0.000029442,-2.532663000
0.000029484,-2.532663000
0.000029526,-2.532663000
0.000029568,-2.532663000
0.000029610,-2.532663000
0.000029652,-2.532663000
0.000029694,-2.532663000
0.000029736,-2.572864000
0.000029778,-2.532663000
0.000029820,-2.492462000
0.000029862,-2.532663000
0.000029904,-2.572864000
0.000029946,-2.532663000
0.000029988,-2.532663000
0.000030030,-2.532663000
0.000030072,-2.532663000
0.000030114,-2.492462000
0.000030156,-2.532663000
0.000030198,-2.532663000
0.000030240,-2.532663000
0.000030282,-2.492462000
0.000030324,-2.532663000
0.000030366,-2.572864000
0.000030408,-2.532663000
0.000030450,-2.532663000
0.000030492,-2.532663000
0.000030534,-2.532663000
0.000030576,-2.532663000
0.000030618,-2.532663000
0.000030660,-2.492462000
0.000030702,-2.572864000
0.000030744,-2.532663000
0.000030786,-2.492462000
0.000030828,-2.532663000
0.000030870,-2.572864000
0.000030912,-2.532663000
0.000030954,-2.532663000
0.000030996,-2.532663000
0.000031038,-2.532663000
0.000031080,-2.532663000
0.000031122,-2.532663000
0.000031164,-2.532663000
0.000031206,-2.532663000
0.000031248,-2.532663000
0.000031290,-2.492462000
0.000031332,-2.532663000
0.000031374,-2.532663000
0.000031416,-2.532663000
0.000031458,-2.532663000
0.000031500,-2.532663000
0.000031542,-2.532663000
0.000031584,-2.532663000
0.000031626,-2.532663000
0.000031668,-2.532663000
0.000031710,-2.532663000
0.000031752,-2.532663000
0.000031794,-2.532663000
0.000031836,-2.532663000
0.000031878,-2.532663000
0.000031920,-2.532663000
0.000031962,-2.492462000
0.000032004,-2.532663000
0.000032046,-2.532663000
0.000032088,-2.532663000
0.000032130,-2.532663000
0.000032172,-2.532663000
0.000032214,-2.532663000
0.000032256,-2.532663000
0.000032298,-2.532663000
0.000032340,-2.532663000
0.000032382,-2.532663000
0.000032424,-2.532663000
0.000032466,-2.532663000
0.000032508,-2.532663000
0.000032550,-2.532663000
0.000032592,-2.532663000
0.000032634,-2.532663000
0.000032676,-2.532663000
0.000032718,-2.572864000
0.000032760,-2.532663000
0.000032802,-2.532663000
0.000032844,-2.532663000
0.000032886,-2.572864000
0.000032928,-2.532663000
0.000032970,-2.532663000
0.000033012,-2.532663000
0.000033054,-2.532663000
0.000033096,-2.532663000
0.000033138,-2.532663000
0.000033180,-2.532663000
0.000033222,-2.532663000
0.000033264,-2.572864000
0.000033306,-2.532663000
0.000033348,-2.532663000
0.000033390,-2.532663000
0.000033432,-2.532663000
0.000033474,-2.532663000
0.000033516,-2.532663000
0.000033558,-2.532663000
0.000033600,-2.532663000
0.000033642,-2.532663000
0.000033684,-2.532663000
0.000033726,-2.532663000
0.000033768,-2.532663000
0.000033810,-2.532663000
0.000033852,-2.532663000
0.000033894,-2.532663000
0.000033936,-2.532663000
0.000033978,-2.532663000
0.000034020,-2.532663000
0.000034062,-2.532663000
0.000034104,-2.532663000
0.000034146,-2.532663000
0.000034188,-2.532663000
0.000034230,-2.532663000
0.000034272,-2.532663000
0.000034314,-2.532663000
0.000034356,-2.532663000
0.000034398,-2.572864000
0.000034440,-2.532663000
0.000034482,-2.492462000
0.000034524,-2.532663000
0.000034566,-2.532663000
0.000034608,-2.532663000
0.000034650,-2.532663000
0.000034692,-2.532663000
0.000034734,-2.572864000
0.000034776,-2.532663000
0.000034818,-2.532663000
0.000034860,-2.532663000
0.000034902,-2.532663000
0.000034944,-2.572864000
0.000034986,-2.532663000
0.000035028,-2.532663000
0.000035070,-2.532663000
0.000035112,-2.532663000
0.000035154,-2.532663000
0.000035196,-2.492462000
0.000035238,-2.572864000
0.000035280,-2.532663000
0.000035322,-2.532663000
0.000035364,-2.532663000
0.000035406,-2.532663000
0.000035448,-2.532663000
0.000035490,-2.532663000
0.000035532,-2.532663000
0.000035574,-2.532663000
0.000035616,-2.532663000
0.000035658,-2.532663000
0.000035700,-2.532663000
0.000035742,-2.532663000
0.000035784,-2.532663000
